series_number,data_series
1,Total International Visitor Arrivals By Place Of Residence
2,Southeast Asia
3,Brunei Darussalam
4,Indonesia
5,Malaysia
6,Myanmar
7,Philippines
8,Thailand
9,Vietnam
10,Other Markets In Southeast Asia
11,Greater China
12,China
13,Hong Kong SAR
14,Taiwan
15,Other Markets In Greater China
16,North Asia
17,Japan
18,South Korea
19,Other Markets In North Asia
20,South Asia
21,Bangladesh
22,India
23,Pakistan
24,Sri Lanka
25,Other Markets In South Asia
26,West Asia
27,Iran
28,Israel
29,Kuwait
30,Saudi Arabia
31,United Arab Emirates
32,Other Markets In West Asia
33,Americas
34,Canada
35,USA
36,Other Markets In Americas
37,Europe
38,Belgium & Luxembourg
39,Denmark
40,Finland
41,France
42,Germany
43,Italy
44,Netherlands
45,Norway
46,Rep Of Ireland
47,Russian Federation
48,Spain
49,Sweden
50,Switzerland
51,United Kingdom
52,Other Markets In Europe
53,Oceania
54,Australia
55,New Zealand
56,Other Markets In Oceania
57,Africa
58,Egypt
59,Mauritius
60,South Africa (Rep Of)
61,Other Markets In Africa
62,Others
63,
64,Definitions and Footnotes
65,International Visitor Arrivals:
66,"International Visitor Arrivals refer to international visitors whose length of stay is less than a year in Singapore. This excludes Malaysian citizens arriving by land, returning Singapore citizens, permanent residents and pass holders, crew on public modes of transport, military personnel, and transit and transfer passengers."
67,Place of Residence:
68,Place of Residence refers to where a visitor resides for more than a year and/or consider the place his/her centre of economic interest.
69,
70,Notation:
71,na   not available or not applicable
72,nec  not elsewhere classified
73,nes  not elsewhere specified
74,-     nil or negligible or not significant
75,Notes
76,Numbers may not add up to the totals due to rounding.
77,"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date."
78,Values are shown in Singapore dollars (unless otherwise specified).
79,
80,Generated by: SingStat Table Builder
81,Date generated: 12/08/2026
82,Contact: info@singstat.gov.sg
