year,gazetted_hotels,occupancy_rate_pct,available_room_nights,average_room_rate_sgd,room_revenue_thousand_sgd
2008,100.0,80.6,10729294.0,242.3,2105418.5
2009,110.0,75.6,11410417.0,185.3,1597927.2
2010,144.0,84.2,13276991.0,205.3,2301558.5
2011,154.0,85.4,14595712.0,233.2,2909295.9
2012,162.0,85.7,15293905.0,243.3,3189985.7
2013,179.0,85.1,16285112.0,239.6,3320146.2
2014,198.0,84.2,17343980.0,242.3,3541784.5
2015,220.0,83.9,17978940.0,232.3,3507390.3
2016,222.0,83.1,19185900.0,222.8,3561442.6
2017,237.0,84.9,20160047.0,217.1,3715653.6
2018,240.0,86.1,21243173.0,218.4,3994617.4
2019,248.0,86.9,21826724.0,220.8,4195776.8
2020,265.0,57.3,13917479.0,154.6,1234008.1
2021,266.0,56.9,10568316.0,160.5,966248.6
2022,247.0,75.3,17149420.0,250.6,3243968.6
2023,254.0,80.5,21486905.0,272.6,4761842.7
2024,281.0,81.4,23301666.0,276.2,5282134.0
2025,285.0,82.0,23758115.0,273.4,5362705.7
