date,arrivals,year,month,month_name,arrivals_yoy_pct
2008-01-01,885290.0,2008,1,January,
2008-02-01,813028.0,2008,2,February,
2008-03-01,910635.0,2008,3,March,
2008-04-01,829438.0,2008,4,April,
2008-05-01,833604.0,2008,5,May,
2008-06-01,822954.0,2008,6,June,
2008-07-01,922569.0,2008,7,July,
2008-08-01,850016.0,2008,8,August,
2008-09-01,745794.0,2008,9,September,
2008-10-01,849400.0,2008,10,October,
2008-11-01,765325.0,2008,11,November,
2008-12-01,888001.0,2008,12,December,
2009-01-01,772138.0,2009,1,January,-12.8
2009-02-01,689935.0,2009,2,February,-15.1
2009-03-01,791236.0,2009,3,March,-13.1
2009-04-01,778975.0,2009,4,April,-6.1
2009-05-01,726391.0,2009,5,May,-12.9
2009-06-01,750404.0,2009,6,June,-8.8
2009-07-01,882107.0,2009,7,July,-4.4
2009-08-01,844649.0,2009,8,August,-0.6
2009-09-01,799496.0,2009,9,September,7.2
2009-10-01,844953.0,2009,10,October,-0.5
2009-11-01,830173.0,2009,11,November,8.5
2009-12-01,972233.0,2009,12,December,9.5
2010-01-01,908495.0,2010,1,January,17.7
2010-02-01,857387.0,2010,2,February,24.3
2010-03-01,928903.0,2010,3,March,17.4
2010-04-01,939013.0,2010,4,April,20.5
2010-05-01,946676.0,2010,5,May,30.3
2010-06-01,951032.0,2010,6,June,26.7
2010-07-01,1095047.0,2010,7,July,24.1
2010-08-01,996899.0,2010,8,August,18.0
2010-09-01,947585.0,2010,9,September,18.5
2010-10-01,978913.0,2010,10,October,15.9
2010-11-01,964170.0,2010,11,November,16.1
2010-12-01,1127581.0,2010,12,December,16.0
2011-01-01,1055990.0,2011,1,January,16.2
2011-02-01,990118.0,2011,2,February,15.5
2011-03-01,1071960.0,2011,3,March,15.4
2011-04-01,1103320.0,2011,4,April,17.5
2011-05-01,1054104.0,2011,5,May,11.3
2011-06-01,1080066.0,2011,6,June,13.6
2011-07-01,1273870.0,2011,7,July,16.3
2011-08-01,1178511.0,2011,8,August,18.2
2011-09-01,1033747.0,2011,9,September,9.1
2011-10-01,1085193.0,2011,10,October,10.9
2011-11-01,1027787.0,2011,11,November,6.6
2011-12-01,1216637.0,2011,12,December,7.9
2012-01-01,1198507.0,2012,1,January,13.5
2012-02-01,1134554.0,2012,2,February,14.6
2012-03-01,1243133.0,2012,3,March,16.0
2012-04-01,1201953.0,2012,4,April,8.9
2012-05-01,1146448.0,2012,5,May,8.8
2012-06-01,1157739.0,2012,6,June,7.2
2012-07-01,1283611.0,2012,7,July,0.8
2012-08-01,1313604.0,2012,8,August,11.5
2012-09-01,1051348.0,2012,9,September,1.7
2012-10-01,1192580.0,2012,10,October,9.9
2012-11-01,1212079.0,2012,11,November,17.9
2012-12-01,1360536.0,2012,12,December,11.8
2013-01-01,1291718.0,2013,1,January,7.8
2013-02-01,1221365.0,2013,2,February,7.7
2013-03-01,1368891.0,2013,3,March,10.1
2013-04-01,1274246.0,2013,4,April,6.0
2013-05-01,1288282.0,2013,5,May,12.4
2013-06-01,1288950.0,2013,6,June,11.3
2013-07-01,1419657.0,2013,7,July,10.6
2013-08-01,1483520.0,2013,8,August,12.9
2013-09-01,1176142.0,2013,9,September,11.9
2013-10-01,1203746.0,2013,10,October,0.9
2013-11-01,1184002.0,2013,11,November,-2.3
2013-12-01,1367404.0,2013,12,December,0.5
2014-01-01,1345842.0,2014,1,January,4.2
2014-02-01,1238239.0,2014,2,February,1.4
2014-03-01,1297551.0,2014,3,March,-5.2
2014-04-01,1245307.0,2014,4,April,-2.3
2014-05-01,1208532.0,2014,5,May,-6.2
2014-06-01,1181422.0,2014,6,June,-8.3
2014-07-01,1408400.0,2014,7,July,-0.8
2014-08-01,1362935.0,2014,8,August,-8.1
2014-09-01,1098626.0,2014,9,September,-6.6
2014-10-01,1203527.0,2014,10,October,-0.0
2014-11-01,1144230.0,2014,11,November,-3.4
2014-12-01,1360541.0,2014,12,December,-0.5
2015-01-01,1252608.0,2015,1,January,-6.9
2015-02-01,1188818.0,2015,2,February,-4.0
2015-03-01,1201648.0,2015,3,March,-7.4
2015-04-01,1208624.0,2015,4,April,-2.9
2015-05-01,1222836.0,2015,5,May,1.2
2015-06-01,1184747.0,2015,6,June,0.3
2015-07-01,1519233.0,2015,7,July,7.9
2015-08-01,1445062.0,2015,8,August,6.0
2015-09-01,1131976.0,2015,9,September,3.0
2015-10-01,1246947.0,2015,10,October,3.6
2015-11-01,1203992.0,2015,11,November,5.2
2015-12-01,1424978.0,2015,12,December,4.7
2016-01-01,1412123.0,2016,1,January,12.7
2016-02-01,1335097.0,2016,2,February,12.3
2016-03-01,1406607.0,2016,3,March,17.1
2016-04-01,1393972.0,2016,4,April,15.3
2016-05-01,1357543.0,2016,5,May,11.0
2016-06-01,1270531.0,2016,6,June,7.2
2016-07-01,1622405.0,2016,7,July,6.8
2016-08-01,1481876.0,2016,8,August,2.5
2016-09-01,1144063.0,2016,9,September,1.1
2016-10-01,1237675.0,2016,10,October,-0.7
2016-11-01,1235433.0,2016,11,November,2.6
2016-12-01,1506134.0,2016,12,December,5.7
2017-01-01,1480479.0,2017,1,January,4.8
2017-02-01,1361010.0,2017,2,February,1.9
2017-03-01,1480161.0,2017,3,March,5.2
2017-04-01,1470750.0,2017,4,April,5.5
2017-05-01,1363897.0,2017,5,May,0.5
2017-06-01,1387601.0,2017,6,June,9.2
2017-07-01,1632135.0,2017,7,July,0.6
2017-08-01,1559283.0,2017,8,August,5.2
2017-09-01,1320050.0,2017,9,September,15.4
2017-10-01,1402299.0,2017,10,October,13.3
2017-11-01,1397330.0,2017,11,November,13.1
2017-12-01,1569616.0,2017,12,December,4.2
2018-01-01,1563359.0,2018,1,January,5.6
2018-02-01,1491970.0,2018,2,February,9.6
2018-03-01,1584406.0,2018,3,March,7.0
2018-04-01,1544248.0,2018,4,April,5.0
2018-05-01,1470891.0,2018,5,May,7.8
2018-06-01,1544679.0,2018,6,June,11.3
2018-07-01,1732896.0,2018,7,July,6.2
2018-08-01,1683122.0,2018,8,August,7.9
2018-09-01,1415149.0,2018,9,September,7.2
2018-10-01,1467380.0,2018,10,October,4.6
2018-11-01,1406985.0,2018,11,November,0.7
2018-12-01,1603217.0,2018,12,December,2.1
2019-01-01,1624593.0,2019,1,January,3.9
2019-02-01,1499051.0,2019,2,February,0.5
2019-03-01,1564664.0,2019,3,March,-1.2
2019-04-01,1596724.0,2019,4,April,3.4
2019-05-01,1487791.0,2019,5,May,1.1
2019-06-01,1551847.0,2019,6,June,0.5
2019-07-01,1802593.0,2019,7,July,4.0
2019-08-01,1736102.0,2019,8,August,3.1
2019-09-01,1463543.0,2019,9,September,3.4
2019-10-01,1530479.0,2019,10,October,4.3
2019-11-01,1533668.0,2019,11,November,9.0
2019-12-01,1724961.0,2019,12,December,7.6
2020-01-01,1688102.0,2020,1,January,3.9
2020-02-01,732966.0,2020,2,February,-51.1
2020-03-01,240001.0,2020,3,March,-84.7
2020-04-01,750.0,2020,4,April,-100.0
2020-05-01,880.0,2020,5,May,-99.9
2020-06-01,2171.0,2020,6,June,-99.9
2020-07-01,6843.0,2020,7,July,-99.6
2020-08-01,8912.0,2020,8,August,-99.5
2020-09-01,9500.0,2020,9,September,-99.4
2020-10-01,13399.0,2020,10,October,-99.1
2020-11-01,14749.0,2020,11,November,-99.0
2020-12-01,24170.0,2020,12,December,-98.6
2021-01-01,23366.0,2021,1,January,-98.6
2021-02-01,18141.0,2021,2,February,-97.5
2021-03-01,27202.0,2021,3,March,-88.7
2021-04-01,25737.0,2021,4,April,3331.6
2021-05-01,14190.0,2021,5,May,1512.5
2021-06-01,10029.0,2021,6,June,362.0
2021-07-01,18517.0,2021,7,July,170.6
2021-08-01,15887.0,2021,8,August,78.3
2021-09-01,19009.0,2021,9,September,100.1
2021-10-01,24006.0,2021,10,October,79.2
2021-11-01,41179.0,2021,11,November,179.2
2021-12-01,92796.0,2021,12,December,283.9
2022-01-01,57174.0,2022,1,January,144.7
2022-02-01,67765.0,2022,2,February,273.5
2022-03-01,121207.0,2022,3,March,345.6
2022-04-01,295095.0,2022,4,April,1046.6
2022-05-01,418458.0,2022,5,May,2849.0
2022-06-01,543733.0,2022,6,June,5321.6
2022-07-01,726739.0,2022,7,July,3824.7
2022-08-01,728744.0,2022,8,August,4487.0
2022-09-01,782215.0,2022,9,September,4015.0
2022-10-01,816833.0,2022,10,October,3302.6
2022-11-01,816340.0,2022,11,November,1882.4
2022-12-01,931441.0,2022,12,December,903.8
2023-01-01,931814.0,2023,1,January,1529.8
2023-02-01,957844.0,2023,2,February,1313.5
